Price,Close,High,Low,Open,Volume,20EMA,50EMA,100EMA,200EMA
Ticker,APLE,APLE,APLE,APLE,APLE,,,,
Date,,,,,,,,,
2015-12-18,12.652853012084961,12.886367994613561,12.566821361483898,12.665143582768922,9042400,12.204627207453344,11.976954959842024,11.691136345134716,11.367142058259285
2015-12-21,12.314872741699219,12.702016411248989,12.284146309453337,12.695871124799814,1289400,12.215126782143425,11.990206637561913,11.70348756090827,11.376572214313413
2015-12-22,12.216544151306152,12.443914965155868,12.19196418802386,12.419333829780527,1061700,12.215261769682733,11.99908261849306,11.713647097351792,11.384930144034733
2015-12-23,12.4070405960083,12.425475269743904,12.179669852496819,12.321007820902308,566800,12.233526419808978,12.015080970552482,11.727377661681624,11.395100397288202
2015-12-24,12.25341796875,12.462352967120855,12.234982114037306,12.41933597279124,623900,12.235420853041456,12.024427519501405,11.73779430142555,11.403640870636082
2015-12-28,12.523797988891602,12.529943271105347,12.210396800639769,12.265701996378,629900,12.262885342170042,12.044010675163767,11.753358730880324,11.414786712608773
2015-12-29,12.665141105651855,12.67128638979191,12.5053672342898,12.566818903597222,586400,12.301195414882596,12.06836873126134,11.771413827410454,11.427228049852983
2015-12-30,12.6713228225708,12.739248214613708,12.60339625271943,12.64662182342177,525500,12.336445644186234,12.092013989744066,11.78923380751264,11.439607102317838
2015-12-31,12.331684112548828,12.677490836407866,12.33168411254883,12.677490836407866,770000,12.335992164982672,12.10141281808935,11.799975397711377,11.448483490479342
2016-01-04,12.202013969421387,12.269940536658607,11.985884946418937,12.164963649932185,799600,12.323232336833978,12.105357961278843,11.807936557547219,11.455981306190209
2016-01-05,12.282281875610352,12.35020839870166,12.097029220752889,12.127904270626582,739000,12.319332292907918,12.112296153997725,11.817329534142528,11.464203202403345
2016-01-06,12.399609565734863,12.405784811460656,12.115555329194622,12.16495611719326,734100,12.326977747462866,12.123563346614867,11.828859831797821,11.473510728406644
2016-01-07,12.115556716918945,12.300809398680885,12.053805430395691,12.07232999188719,800500,12.306842411220588,12.123249361136596,11.834536997839823,11.479899245705276
2016-01-08,11.837679862976074,12.200775740111991,11.782103807174597,12.09085914926807,1092800,12.26216026376873,12.112050557287164,11.834599232793018,11.483459251847275
2016-01-11,11.930302619934082,11.973528166297816,11.806801227153098,11.843851527206613,487000,12.230554773879716,12.104923187194887,11.836494349370069,11.487905454514806
